member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,cik,gics_sector,gics_sub_industry,headquarters_location,founded,quote_symbol,quote_status,quote_note
permno-24619-19570301,24619,MLT,"ET, MLT",MERGENTHALER LINOTYPE CO; ELTRA CORP; MERGANTHALER LINOTYPE CO,,1957-03-01,1960-12-14,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-15149-19570301,15149,VCA,VCA,VANADIUM CORP AMER,,1957-03-01,1960-12-14,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-12212-19570301,12212,,,GUANTANAMO SUGAR CO,,1957-03-01,1960-12-28,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-13004-19570301,13004,,,MANATI SUGAR CO,,1957-03-01,1961-02-08,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-22015-19570301,22015,,,VERTIENTES CAMAGUEY SUGAR CO,,1957-03-01,1961-02-08,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-17064-19570301,17064,,,INDUSTRIAL RAYON CORP,,1957-03-01,1961-04-26,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-17099-19570301,17099,UCC,UCC,UNITED ELEC COAL COS,,1957-03-01,1961-06-07,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-19625-19570301,19625,,,BRIDGEPORT BRASS CO,,1957-03-01,1961-06-21,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-19836-19570301,19836,,,GREEN H L INC,,1957-03-01,1961-06-21,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-17486-19570301,17486,,,SPENCER KELLOGG & SONS INC,,1957-03-01,1961-08-02,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-18454-19570301,18454,,,CREAM OF WHEAT CORP,,1957-03-01,1961-08-09,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-13565-19570301,13565,CSU,"NTS, CSU",CUBAN AMERICAN SUGAR CO; NORTH AMERICAN SUGAR INDS INC,,1957-03-01,1961-08-16,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-18366-19570301,18366,,,HERCULES MTRS CORP,,1957-03-01,1961-09-20,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-25187-19570301,25187,,,UNIVERSAL PICTURES INC,,1957-03-01,1961-10-25,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-28281-19570301,28281,,,LERNER STORES CORP,,1957-03-01,1961-12-06,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-21426-19570301,21426,,,PHILCO CORP,,1957-03-01,1961-12-06,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-16926-19570301,16926,CMIL,CMIL,CANNON MILLS CO,,1957-03-01,1962-01-10,wrds,,,,,,CMIL,auto,
permno-14277-19570301,14277,SLB,SLB,SCHLUMBERGER LTD; AMERICAN TYPE FOUNDERS INC; A T F INC; DAYSTROM INC; AMERICAN TYPE FOUNDERS CO,,1957-03-01,1962-01-31,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-11359-19570301,11359,,,COLUMBIAN CARBON CO,,1957-03-01,1962-02-07,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-22875-19570301,22875,,,FIRTH CARPET CO,,1957-03-01,1962-02-14,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-17398-19570301,17398,,,TRUAX TRAER COAL CO,,1957-03-01,1962-04-25,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-10292-19570301,10292,ACJ,ACJ,AMERICAN CHICLE CO,,1957-03-01,1962-09-26,wrds,,,,,,ACJ,auto,
permno-13696-19570301,13696,PAC,PAC,PACIFIC TELEPHONE & TELEG CO,,1957-03-01,1962-10-17,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-19967-19570301,19967,GBL,GBL,GOEBEL BREWING CO,,1957-03-01,1962-10-24,wrds,,,,,,GBL,auto,
permno-17056-19570301,17056,HLN,HLN,HOLLAND FURNACE CO,,1957-03-01,1963-01-16,wrds,,,,,,HLN,auto,
permno-14779-19570301,14779,TS,TS,TEXAS PAC COAL & OIL CO,,1957-03-01,1963-01-16,wrds,,,,,,TS,auto,
permno-17881-19570301,17881,MTI,MTI,MOTEC INDS INC; MINNEAPOLIS MOLINE PWR IMPLEMENT; MINNEAPOLIS MOLINE CO,,1957-03-01,1963-01-30,wrds,,,,,,MTI,auto,
permno-10153-19570301,10153,AH,AH,ALLIS CHALMERS MFG CO; ALLIS CHALMERS CORP,,1957-03-01,1963-03-13,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-17144-19570301,17144,GIS,GIS,GENERAL MILLS INC,,1957-03-01,1963-03-13,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-25582-19570301,25582,HI,"HRS, LHX, HI",L3HARRIS TECHNOLOGIES INC; HARRIS CORP; HARRIS SEYBOLD CO; HARRIS INTERTYPE CORP,,1957-03-01,1963-03-13,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-12394-19570301,12394,IL,IL,ILLINOIS CENT RR CO,,1957-03-01,1963-03-22,wrds,,,,,,IL,auto,
permno-11770-19570301,11770,ET,ET,ELECTRIC AUTOLITE CO,,1957-03-01,1963-06-26,wrds,,,,,,ET,auto,
permno-17582-19570301,17582,BHL,BHL,BOHN ALUM & BRASS CORP,,1957-03-01,1963-08-28,wrds,,,,,,BHL,auto,
permno-21549-19570301,21549,AVC,"VIS, AVC",A V C CORP; AMERICAN VISCOSE CORP,,1957-03-01,1963-09-04,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-22381-19570301,22381,RUP,RUP,RUPPERT JACOB CO,,1957-03-01,1963-09-04,wrds,,,,,,RUP,auto,
permno-10209-19570301,10209,AHD,AHD,AMERICAN AGRIC CHEM CO,,1957-03-01,1963-10-16,wrds,,,,,,AHD,auto,
permno-15480-19570301,15480,YAT,YAT,YALE & TOWNE MFG CO,,1957-03-01,1963-10-30,wrds,,,,,,YAT,auto,
permno-12757-19570301,12757,KSC,KSC,KRESS S H & CO,,1957-03-01,1963-12-04,wrds,,,,,,KSC,auto,
permno-15165-19570301,15165,VC,VC,VIRGINIA CAROLINA CHEM CORP,,1957-03-01,1963-12-04,wrds,,,,,,VC,auto,
permno-17689-19570301,17689,AWC,AWC,ANACONDA WIRE & CABLE CO,,1957-03-01,1964-01-15,wrds,,,,,,AWC,auto,
permno-13135-19570301,13135,MP,"MTYRF, MP",MCINTYRE MINES LTD; MCINTYRE PORCUPINE MINES LTD,,1957-03-01,1964-01-15,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-13274-19570301,13274,MRW,MRW,MOTOR WHEEL CORP,,1957-03-01,1964-01-22,wrds,,,,,,MRW,auto,
permno-21290-19570301,21290,MNP,"MTI, CDD, NOR, TKC, MNP",THIOKOL CORP DEL; NORWICH PHARMACAL CO; CORDANT TECHNOLOGIES INC; MORTON NORWICH PRODS INC DEL; MORTON THIOKOL INC,,1957-03-01,1964-01-29,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-15544-19570301,15544,MS,MS,MCCRORY STORES CORP; MCCRORY MCLELLAN STORES CORP; MCCRORY CORP,,1957-03-01,1964-01-29,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-20714-19570301,20714,BNDN,"BND, BNDN",BOND INDUSTRIES INC; BOND STORES INC,,1957-03-01,1964-02-19,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-23907-19570301,23907,DIN,DIN,DIANA STORES CORP,,1957-03-01,1964-02-19,wrds,,,,,,DIN,auto,
permno-19107-19570301,19107,LNY,LNY,LANE BRYANT INC,,1957-03-01,1964-02-19,wrds,,,,,,LNY,auto,
permno-24993-19570301,24993,JEF,JEF,JEFFERSON LAKE SULPHUR CO,,1957-03-01,1964-02-26,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-14613-19570301,14613,SK,SK,PACKARD MTR CO; STUDEBAKER PACKARD CORP; STUDEBAKER CORP,,1957-03-01,1964-04-22,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-20298-19570301,20298,TR,TR,TEXAS GULF PRODUCING CO,,1957-03-01,1964-05-13,wrds,,,,,,TR,auto,
permno-17312-19570301,17312,CLO,CLO,CELOTEX CO; CELOTEX CORP,,1957-03-01,1964-09-02,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-13442-19570301,13442,NKP,NKP,NEW YORK CHICAGO & ST LOUIS RR,,1957-03-01,1964-10-21,wrds,,,,,,NKP,auto,
permno-19668-19570301,19668,AUD,AUD,CHICAGO MAIL ORDER CO; ALDENS INC,,1957-03-01,1965-01-06,wrds,,,,,,AUD,auto,
permno-11287-19570301,11287,CITA,"AP, CDL, CITA",AMERICAN LOCOMOTIVE CO; ALCO PRODUCTS INC; ALCO PRODS INC; CITADEL INDUSTRIES INC,,1957-03-01,1965-01-06,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-12511-19570301,12511,IGL,"MKG, IMA, IGL",INTERNATIONAL MINERALS & CHEM CO; IMCERA GROUP INC; INTERNATIONAL AGRIC CORP; MALLINCKRODT INC NEW; MALLINCKRODT GROUP INC,,1957-03-01,1965-01-06,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-21901-19570301,21901,RMB,RMB,ROYAL TYPEWRITER INC; ROYAL MC BEE CORP,,1957-03-01,1965-01-06,wrds,,,,,,RMB,auto,
permno-25128-19570301,25128,SDG,SDG,SMITH DOUGLASS INC,,1957-03-01,1965-01-06,wrds,,,,,,SDG,auto,
permno-20511-19570301,20511,RMC,RMC,RELIANCE MFG CO,,1957-03-01,1965-01-13,wrds,,,,,,RMC,auto,
permno-21645-19570301,21645,AEX,AEX,AMERICAN EXPT LINES INC; AMERICAN EXPT ISBRANDTSEN LINES,,1957-03-01,1965-02-12,wrds,,,,,,AEX,auto,
permno-23384-19570301,23384,JAE,"JAEG, JAE",JAEGER MACHINE CO; JAEGER MACH CO,,1957-03-01,1965-03-03,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-22074-19570301,22074,ASU,"VON, ASU",A C F BRILL MOTORS CO; VONS COMPANIES INC; A C F WRIGLEY STORES INC; ALLIED SUPERMARKETS INC,,1957-03-01,1965-06-16,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-15528-19570301,15528,CV,CV,COMMERCIAL SOLVENTS CORP,,1957-03-01,1965-06-16,wrds,,,,,,CV,auto,
permno-22699-19570301,22699,DAY,DAY,DAYCO CORP; DAYTON RUBBER CO; DAY INTERNATIONAL; DAYTON RUBBER MFG CO,,1957-03-01,1965-06-16,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-13805-19570301,13805,PFK,PFK,PENICK & FORD LTD,,1957-03-01,1965-06-16,wrds,,,,,,PFK,auto,
permno-22306-19570301,22306,RA,RA,REPUBLIC AVIATION CORP; R A C CORP,,1957-03-01,1965-10-13,wrds,,,,,,RA,auto,
permno-10807-19570301,10807,BG,BG,BRIGGS MFG CO,,1957-03-01,1965-10-20,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-17013-19570301,17013,SM,SM,SPIEGEL MAY STERN INC; SPIEGEL INC,,1957-03-01,1965-11-03,wrds,,,,,,SM,auto,
permno-16256-19570301,16256,NAS,NAS,CONDE NAST PUBNS INC,,1957-03-01,1965-12-15,wrds,,,,,,NAS,auto,
permno-19772-19570301,19772,KSP,KSP,K V P SUTHERLAND PAPER CO; SUTHERLAND PAPER CO,,1957-03-01,1966-05-18,wrds,,,,,,KSP,auto,
permno-22242-19570301,22242,ERP,ERP,EMERSON RADIO & PHONOGRAPH CORP,,1957-03-01,1966-05-25,wrds,,,,,,ERP,auto,
permno-14664-19570301,14664,SUS,SUS,LOOSE WILES BISCUIT CO; SUNSHINE BISCUITS INC,,1957-03-01,1966-06-01,wrds,,,,,,SUS,auto,
permno-16344-19570301,16344,TMC,TMC,THATCHER GLASS MFG CO; THATCHER MFG CO; THATCHER GLASS MFG INC,,1957-03-01,1966-06-22,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-11439-19570301,11439,CSC,CSC,PITTSBURGH COAL CO; PITTSBURGH CONSLDTN COAL CO; CONSOLIDATION COAL INC PA,,1957-03-01,1966-09-28,wrds,,,,,,CSC,auto,
permno-24176-19570301,24176,PXN,PXN,PARAMOUNT PICTURES CORP,,1957-03-01,1966-10-05,wrds,,,,,,PXN,auto,
permno-25611-19570301,25611,SBK,"SCI, SBK",STORER BROADCASTING CO; STORER COMMUNICATIONS INC,,1957-03-01,1966-10-05,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-27561-19570301,27561,BO,BO,BALTIMORE & OHIO RR CO,,1957-03-01,1966-12-14,wrds,,,,,,BO,auto,
permno-24061-19570301,24061,UGC,UGC,UNITED GAS CORP,,1957-03-01,1966-12-14,wrds,,,,,,UGC,auto,
permno-20036-19570301,20036,CPP,CPP,CHAMPION PAPER & FIBRE CO; CHAMPION PAPERS INC,,1957-03-01,1967-02-21,wrds,,,,,,CPP,auto,
permno-19270-19570301,19270,BGS,BGS,BIGELOW SANFORD CARPET CO; BIGELOW SANFORD INC; BIGELOW SANFORD CARPET CORP,,1957-03-01,1967-04-12,wrds,,,,,,BGS,auto,
permno-19203-19570301,19203,D,D,DOUGLAS AIRCRAFT INC,,1957-03-01,1967-04-26,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-23296-19570301,23296,BEM,BEM,BEAUNIT MLS INC; BEAUNIT CORP,,1957-03-01,1967-05-17,wrds,,,,,,BEM,auto,
permno-12941-19570301,12941,MQ,MQ,MACK TRUCKS INC,,1957-03-01,1967-05-17,wrds,,,,,,MQ,auto,
permno-19844-19570301,19844,RBR,RBR,RUBEROID CO,,1957-03-01,1967-05-17,wrds,,,,,,RBR,auto,
permno-15448-19570301,15448,WIL,WIL,WILSON & CO INC,,1957-03-01,1967-05-17,wrds,,,,,,WIL,auto,
permno-10591-19570301,10591,AX,AX,ATLANTIC COAST LINE RR CO,,1957-03-01,1967-06-28,wrds,,,,,,AX,auto,
permno-17451-19570301,17451,LKB,LKB,LINK BELT CO,,1957-03-01,1967-06-28,wrds,,,,,,LKB,auto,
permno-25646-19570301,25646,MCK,"FOR, MCK",MCKESSON CORP; FOREMOST DAIRIES INC; FOREMOST MC KESSON INC,,1957-03-01,1967-07-12,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-17048-19570301,17048,WB,WB,WARNER BROS PICTURES INC,,1957-03-01,1967-07-12,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-17232-19570301,17232,CEG,"AGG, CEG",AGUIRRE CO; CENTRAL AGUIRRE SUGAR CO; CENTRAL AGUIRRE ASSOC,,1957-03-01,1967-07-19,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-14488-19570301,14488,PSU,PSU,SOUTH P R SUGAR CO; SOUTH PORTO RICO SUGAR CO,,1957-03-01,1967-07-19,wrds,,,,,,PSU,auto,
permno-17654-19570301,17654,RKS,RKS,ROCKWELL STD CORP; TIMKEN DETROIT AXLE CO; ROCKWELL SPRING & AXLE CO,,1957-03-01,1967-09-27,wrds,,,,,,RKS,auto,
permno-16205-19570301,16205,TV,TV,TIDE WTR ASSD OIL CO; TIDEWATER OIL CO,,1957-03-01,1967-10-04,wrds,,,,,,TV,auto,
permno-19828-19570301,19828,WEN,"DWG, TRY, WEN",DEISEL WEMMER GILBERT CORP; D W G CORP; D W G CIGAR CORP; WENDYS ARBYS GROUP INC; WENDYS CO; TRIARC COMPANIES INC,,1957-03-01,1967-11-08,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-15464-19570301,15464,WTH,WTH,WORTHINGTON CORP; WORTHINGTON PUMP & MACHY CO,,1957-03-01,1967-11-29,wrds,,,,,,WTH,auto,
permno-12191-19570301,12191,GSW,GSW,GREAT WESTN SUGAR CO,,1957-03-01,1968-01-15,wrds,,,,,,GSW,auto,
permno-10735-19570301,10735,BLS,BLS,BEECH NUT PACKING CO; BEECH NUT LIFE SAVERS INC,,1957-03-01,1968-01-17,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-11391-19570301,11391,CDR,CDR,CONSOLIDATED CIGAR CORP,,1957-03-01,1968-01-17,wrds,,,,,,CDR,auto,
permno-23456-19570301,23456,DCO,DCO,DIVCO WAYNE CORP; DIVCO CORP,,1957-03-01,1968-01-17,wrds,,,,,,DCO,auto,
permno-22808-19570301,22808,EWB,EWB,BLISS E W CO,,1957-03-01,1968-01-17,wrds,,,,,,EWB,auto,
permno-13434-19570301,13434,CN,CN,NEW YORK CENT RR CO,,1957-03-01,1968-01-31,wrds,,,,,,CN,auto,
permno-15536-19570301,15536,ICR,ICR,ISLAND CREEK COAL CO,,1957-03-01,1968-01-31,wrds,,,,,,ICR,auto,
permno-18841-19570301,18841,BK,BK,BLAW KNOX CO,,1957-03-01,1968-04-03,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-17718-19570301,17718,BLD,BLD,BULLARD CO,,1957-03-01,1968-04-03,wrds,,,,,,BLD,auto,
permno-17515-19570301,17515,CPC,CPC,CURTIS PUBLISHING CO,,1957-03-01,1968-05-22,wrds,,,,,,CPC,auto,
permno-15341-19570301,15341,WK,WK,WESTINGHOUSE AIR BRAKE CO,,1957-03-01,1968-06-11,wrds,,,,,,WK,auto,
permno-15835-19570301,15835,CD,CD,CANADA DRY CORP; CANADA DRY GINGER ALE INC,,1957-03-01,1968-07-23,wrds,,,,,,CD,auto,
permno-16686-19570301,16686,MLL,MLL,MC CALL CORP,,1957-03-01,1968-07-23,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-24504-19570301,24504,GFN,GFN,GENERAL FINANCIAL CORP,,1957-03-01,1968-07-30,wrds,,,,,,GFN,auto,
permno-15157-19570301,15157,VRT,VRT,VAN RAALTE CO,,1957-03-01,1968-08-06,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-19932-19570301,19932,WKU,WKU,WAUKESHA MTR CO,,1957-03-01,1968-08-06,wrds,,,,,,WKU,auto,
permno-10575-19570301,10575,ASF,"SF, ASF",ATCHISON TOPEKA & SANTA FE RY CO,,1957-03-01,1968-08-20,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-11367-19570301,11367,CC,CC,COMMERCIAL CR CO,,1957-03-01,1968-08-20,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-15974-19570301,15974,ABG,ABG,AMERICAN SHIP BLDG CO,,1957-03-01,1968-09-10,wrds,,,,,,ABG,auto,
permno-21434-19570301,21434,BIW,"COG, BIW",BATH IRON WKS INC; BATH INDS INC; BATH IRON WKS CORP; CONGOLEUM CORP,,1957-03-01,1968-09-10,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-15819-19570301,15819,CI,CI,CONTINENTAL BAKING CORP; CONTINENTAL BAKING CO,,1957-03-01,1968-09-10,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-21418-19570301,21418,NND,NND,NEWPORT NEWS SHIPBUILDING,,1957-03-01,1968-09-10,wrds,,,,,,NND,auto,
permno-19385-19570301,19385,SH,SH,SCHENLEY INDUSTRIES INC; SCHENLEY DISTILLERS CORP,,1957-03-01,1968-09-10,wrds,,,,,,SH,auto,
permno-11527-19570301,11527,XA,XA,CRUCIBLE STL CO AMER,,1957-03-01,1968-09-10,wrds,,,,,,XA,auto,
permno-16723-19570301,16723,CNR,CNR,CONTAINER CORP AMER,,1957-03-01,1968-11-06,wrds,,,,,,CNR,auto,
permno-19211-19570301,19211,LIL,LIL,LILY TULIP CUP CORP,,1957-03-01,1968-11-06,wrds,,,,,,LIL,auto,
permno-12896-19570301,12896,LL,LL,LORILLARD CORP; LORILLARD P CO,,1957-03-01,1968-12-10,wrds,,,,,,LL,auto,
permno-10030-19570301,10030,ABK,ABK,AMERICAN BRAKE SHOE & FDRY; ABEX CORP; AMERICAN BRAKE SHOE CO,,1957-03-01,1969-01-08,wrds,,,,,,ABK,auto,
permno-15042-19570301,15042,USL,USL,UNITED STS LINES CO N V; INTERNATIONAL MERCANTILE MARINE,,1957-03-01,1969-02-12,wrds,,,,,,USL,auto,
permno-14429-19570301,14429,L,L,CONSOLIDATED OIL CORP; SINCLAIR CONS OIL CORP; SINCLAIR OIL CORP,,1957-03-01,1969-03-05,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-22330-19570301,22330,NSU,NSU,NATIONAL SUGAR REFNG CO,,1957-03-01,1969-03-05,wrds,,,,,,NSU,auto,
permno-23528-19570301,23528,SFC,SFC,SEABOARD FINANCE CO,,1957-03-01,1969-03-26,wrds,,,,,,SFC,auto,
permno-28513-19570301,28513,MMX,MMX,MAGMA COPPER CO,,1957-03-01,1969-05-14,wrds,,,,,,MMX,auto,
permno-15499-19570301,15499,YB,YB,YOUNGSTOWN SHEET & TUBE CO,,1957-03-01,1969-05-28,wrds,,,,,,YB,auto,
permno-20431-19570301,20431,ATS,ATS,ASSOCIATES INVESTMENT CO,,1957-03-01,1969-07-02,wrds,,,,,,ATS,auto,
permno-14904-19570301,14904,UP,UP,UNION PACIFIC RAILROAD CO,,1957-03-01,1969-07-15,wrds,,,,,,UP,auto,
permno-19684-19570301,19684,CGH,CGH,CLEVITE CORP; CLEVELAND GRAPHITE BRONZE CO,,1957-03-01,1969-08-06,wrds,,,,,,CGH,auto,
permno-12183-19570301,12183,GN,GN,GREAT NORTHERN RAILWAY CO,,1957-03-01,1970-03-04,wrds,,,,,,GN,auto,
permno-13573-19570301,13573,NP,NP,NORTHERN PACIFIC RAILWAY CO,,1957-03-01,1970-03-04,wrds,,,,,,NP,auto,
permno-22787-19570301,22787,PUL,PUL,PUBLICKER INDUSTRIES INC,,1957-03-01,1970-03-18,wrds,,,,,,PUL,auto,
permno-10516-19570301,10516,ADM,ADM,ARCHER DANIELS MIDLAND CO,,1957-03-01,1970-04-22,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-18091-19570301,18091,CW,CW,CURTISS WRIGHT CORP,,1957-03-01,1970-04-22,wrds,,,,,,CW,auto,
permno-21530-19570301,21530,JL,JL,JONES & LAUGHLIN STL CORP,,1957-03-01,1970-04-22,wrds,,,,,,JL,auto,
